customer_id,first_name,last_name,age,gender,postal_code,email,phone_number,membership_status,join_date,last_purchase_date,total_spending,average_order_value,frequency,preferred_category,churned
101,Léa,King,60.0,M,69003,Lking@orange.fr,33765451688,Basic,14/5/2095,8/1/1960,205.92,1124.64,26,Macaron,False
102,Chloé,Smith,31.0,F,69006,CSMITH@HOTMAIL.COM,,Gold,15/1/2074,17/9/1902,744.21,4403.42,24,Bread,False
103,Harper,Robinson,38.0,M,69006,harperr@yahoo.com,33148254771,Basic,1/25/2022,,929.52,42.25,22,Pastries,False
104,Ethan,Rodriguez,54.0,F,69001,ETHAN_RODRIGUEZ@YANDEX.COM,33118046627,Basic,2033-03-23 00:00:00,7/17/2023,731.21,33.24,22,Unknown,False
105,Ava,Allen,50.0,F,69006,Ava.allen@hotmail.com,33267246001,Silver,16/3/2000,5/18/2023,629.48,16.57,38,Bread,True
106,Amélie,Schmidt,45.0,F,69003,Amélie.schmidt@protonmail.com,33410798418,Gold,2023-11-18,2029-01-10 00:00:00,776.1,38.8,20,Bread,False
107,Mia,Leroy,67.0,F,69003,Mia.leroy@yahoo.com,33440143651,Gold,,2023-03-09,840.89,5191.52,23,Pastries,True
108,Finn,Weber,34.0,F,69003,finnw@laposte.net,33249004719,Silver,2016-11-10 00:00:00,2023-12-13,455.76,455.76,1,Pastries,False
109,Chloe,Dubois,21.0,F,69007,Chloed@yahoo.com,33124046901,Basic,5/15/2023,26/12/2023,579.15,115.83,5,Pastries,True
110,Hannah,Miller,28.0,F,69007,hmiller@web.de,Vb|:{&<^kz6h,Silver,8/6/2023,23/10/2040,704.1,25.15,28,Pastries,False
111,Harry,Hoffmann,48.0,F,69002,harry.hoffmann@laposte.net,33413173236,Silver,11/6/2022,6/9/2023,920.32,61.35,15,Tarte,False
112,Henry,Harris,40.0,F,69007,Henryharris@outlook.com,33482989535,Silver,,3/26/2023,709.73,17.31,41,Pastries,True
113,James,Moreau,67.0,M,69001,james_moreau@outlook.com,33378908896,Gold,,16/9/1923,266.9,7.63,35,Tarte,False
114,Charlotte,Adams,38.0,F,69007,charlottea@web.de,33551328360,BASIC,30/9/1986,10/13/2023,468.31,11.42,41,Tarte,False
115,Paul,Richard,25.0,F,69007,Paul.richard@yandex.com,33724009690,Silver,2019-09-28 00:00:00,29/3/2010,566.45,15.31,37,Pastries,False
116,Benjamin,Garcia,59.0,F,69001,Benjamin_garcia@protonmail.com,33844144576,Basic,2025-01-02 00:00:00,2023-09-10,713.8,18.3,39,Bread,Yes
117,Emma,Meyer,18.0,M,69006,Emmam@yahoo.com,33304782347,Gold,28/4/2028,12/20/2023,341.27,17.96,19,Macaron,False
118,Amelia,Bernard,36.0,F,69002,ameliab@outlook.com,Z{|2wD!6.E}!,Gold,,2023-12-19,619.42,15.49,40,Pastries,False
119,Sophie,Anderson,33.0,M,69003,SOPHIE.ANDERSON@FREE.FR,33355106205,BASIC,9/24/2023,6/12/1900,507.18,56.35,9,Bread,True
